Delta_passing_attempts	Delta_passing_completions	Delta_passing_yards	Delta_passing_rating	Delta_passing_touchdowns	Delta_passing_interceptions	Delta_passing_sacks	Delta_passing_sacks_yards_lost	Delta_rushing_attempts	Delta_rushing_yards	Delta_rushing_touchdowns	Delta_receiving_targets	Delta_receiving_receptions	Delta_receiving_yards	Delta_receiving_touchdowns	Delta_kick_return_attempts	Delta_kick_return_yards	Delta_kick_return_touchdowns	Delta_punt_return_attempts	Delta_punt_return_yards	Delta_punt_return_touchdowns	Delta_defense_sacks	Delta_defense_tackles	Delta_defense_tackle_assists	Delta_defense_interceptions	Delta_defense_interception_yards	Delta_defense_interception_touchdowns	Delta_defense_safeties	Delta_point_after_attemps	Delta_point_after_makes	Delta_field_goal_attempts	Delta_field_goal_makes	Delta_punting_attempts	Delta_punting_yards	Delta_punting_blocked	Delta_Score
-2.6	-3.8	-29.4	-11.28	-0.8	-0.4	0	-16.8	9	28.2	0.6	-5	-2.6	-29.4	-0.8	-0.8	-38.4	0	-0.8	-12.4	0	0.8	0	0	0.4	6.2	0	0	0	-0.2	0.8	1	1	48.6	-0.2	6
-1.6	-2.8	-36	-21.44	-0.8	-0.8	-0.2	-16.8	9.4	31	0.6	-2.4	-1.6	-36	-0.8	0.2	-22.8	0	-0.2	-10.4	0	0.2	0	0	0.8	14.2	0	0	0	0	0.4	0.6	1.6	57.2	0	-3
0.2	-1	-23.2	-18.46	-0.8	-0.8	0	-14.4	6	5	0.6	-1.2	0.2	-23.2	-0.8	1	-5	0	-0.4	-12	0	0	0	0	0.8	13	0	0	0.2	0.2	-0.2	0	1.8	75.6	0	2
1.8	-1.2	-4.4	70.98	-0.2	-1	-0.8	-19.2	8.8	16.2	0.8	-1.2	1.8	-4.4	-0.2	0.2	-4.8	0	-0.4	-7	0	0.8	0	0	1	13	0	0	1	1	0.2	0	1.2	36.4	0	21
4.4	1.4	13	66.3	0	-0.6	-0.4	-14.4	3.2	-14.2	0.4	0.4	4.4	13	0	0.4	6.8	0	0	-0.4	0	0.4	0	0	0.6	7.2	0	0	0.4	0.4	-0.2	0	0.8	20.8	0	-12
9	10.4	62.8	60.98	-0.4	-0.4	1.4	-7.4	-5.2	-63.8	0.2	9.4	9	62.8	-0.4	1.6	36.6	0	0	3.8	0	-1.4	0	0	0.4	2.2	0	0	-0.2	-0.2	-0.6	-0.4	0.8	7.2	0	-21
8.8	8.2	54.6	59.68	-0.4	-0.2	1	-12.4	1.6	-36.6	0.4	6.2	8.8	54.6	-0.4	0.6	7.6	0	0.4	7.6	0	-1	0	0	0.2	-4	0	0	0	0	-0.6	-0.4	0	-23.8	0	4
10	10.8	67.6	54.1	-0.6	-0.4	0.4	-13.2	0.8	-51.8	0.2	9.6	10	67.6	-0.6	0.4	2.8	0	0.6	11.4	0	-0.4	0	0	0.4	17.2	0	0	-0.4	-0.4	0	0	0	-30.8	0	6
6.8	8.6	31.4	0.960000000000001	-1.2	0	0.6	-16.4	-5.4	-63.6	-0.2	6	6.8	31.4	-1.2	0	-15.4	0	0.4	1	0	-0.6	0	0	0	16.6	0	0	-1.4	-1.4	0	0.4	0	-16.6	0	-6
7.6	8.6	42.4	0.62	-1	0	0.6	-19.6	0.8	-18.6	-0.2	6.8	7.6	42.4	-1	-1	-43.6	0	-0.2	0	0	-0.6	0	0	0	15.4	0	0	-0.8	-1	0.8	0.8	-0.2	-28.2	0	3
