NetScore	Delta_passing_attempts_MA5	Delta_passing_completions_MA5	Delta_passing_yards_MA5	Delta_passing_rating_MA5	Delta_passing_touchdowns_MA5	Delta_passing_interceptions_MA5	Delta_passing_sacks_MA5	Delta_passing_sacks_yards_lost_MA5	Delta_rushing_attempts_MA5	Delta_rushing_yards_MA5	Delta_rushing_touchdowns_MA5	Delta_receiving_targets_MA5	Delta_receiving_receptions_MA5	Delta_receiving_yards_MA5	Delta_receiving_touchdowns_MA5	Delta_kick_return_attempts_MA5	Delta_kick_return_yards_MA5	Delta_kick_return_touchdowns_MA5	Delta_punt_return_attempts_MA5	Delta_punt_return_yards_MA5	Delta_punt_return_touchdowns_MA5	Delta_defense_sacks_MA5	Delta_defense_tackles_MA5	Delta_defense_tackle_assists_MA5	Delta_defense_interceptions_MA5	Delta_defense_interception_yards_MA5	Delta_defense_interception_touchdowns_MA5	Delta_defense_safeties_MA5	Delta_point_after_attemps_MA5	Delta_point_after_makes_MA5	Delta_field_goal_attempts_MA5	Delta_field_goal_makes_MA5	Delta_punting_attempts_MA5	Delta_punting_yards_MA5	Delta_punting_blocked_MA5	Delta_Score_MA5	NA	NA
-3	ARI1994-09-11NYG	1994-09-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	ARI1994-10-02MIN	1994-10-02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-7	ARI1994-10-23DAL	1994-10-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	ARI1994-10-30PIT	1994-10-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	ARI1994-11-20PHI	1994-11-20	-2.6	-3.8	-29.4	-11.28	-0.8	-0.4	0	-16.8	9	28.2	0.6	-5	-2.6	-29.4	-0.8	-0.8	-38.4	0	-0.8	-12.4	0	0.8	0	0	0.4	6.2	0	0	0	-0.2	0.8	1	1	48.6	-0.2	1.8
-3	ARI1994-11-27CHI	1994-11-27	-1.6	-2.8	-36	-21.44	-0.8	-0.8	-0.2	-16.8	9.4	31	0.6	-2.4	-1.6	-36	-0.8	0.2	-22.8	0	-0.2	-10.4	0	0.2	0	0	0.8	14.2	0	0	0	0	0.4	0.6	1.6	57.2	0	1.8
2	ARI1994-12-11WAS	1994-12-11	0.2	-1	-23.2	-18.46	-0.8	-0.8	0	-14.4	6	5	0.6	-1.2	0.2	-23.2	-0.8	1	-5	0	-0.4	-12	0	0	0	0	0.8	13	0	0	0.2	0.2	-0.2	0	1.8	75.6	0	0.2
21	ARI1994-12-18CIN	1994-12-18	1.8	-1.2	-4.4	70.98	-0.2	-1	-0.8	-19.2	8.8	16.2	0.8	-1.2	1.8	-4.4	-0.2	0.2	-4.8	0	-0.4	-7	0	0.8	0	0	1	13	0	0	1	1	0.2	0	1.2	36.4	0	5.8
-12	ARI1995-09-10PHI	1995-09-10	4.4	1.4	13	66.3	0	-0.6	-0.4	-14.4	3.2	-14.2	0.4	0.4	4.4	13	0	0.4	6.8	0	0	-0.4	0	0.4	0	0	0.6	7.2	0	0	0.4	0.4	-0.2	0	0.8	20.8	0	2.8
-21	ARI1995-10-01KAN	1995-10-01	9	10.4	62.8	60.98	-0.4	-0.4	1.4	-7.4	-5.2	-63.8	0.2	9.4	9	62.8	-0.4	1.6	36.6	0	0	3.8	0	-1.4	0	0	0.4	2.2	0	0	-0.2	-0.2	-0.6	-0.4	0.8	7.2	0	-2.6
4	ARI1995-10-15WAS	1995-10-15	8.8	8.2	54.6	59.68	-0.4	-0.2	1	-12.4	1.6	-36.6	0.4	6.2	8.8	54.6	-0.4	0.6	7.6	0	0.4	7.6	0	-1	0	0	0.2	-4	0	0	0	0	-0.6	-0.4	0	-23.8	0	-1.2
6	ARI1995-10-29SEA	1995-10-29	10	10.8	67.6	54.1	-0.6	-0.4	0.4	-13.2	0.8	-51.8	0.2	9.6	10	67.6	-0.6	0.4	2.8	0	0.6	11.4	0	-0.4	0	0	0.4	17.2	0	0	-0.4	-0.4	0	0	0	-30.8	0	-0.4
-6	ARI1995-11-12MIN	1995-11-12	6.8	8.6	31.4	0.960000000000001	-1.2	0	0.6	-16.4	-5.4	-63.6	-0.2	6	6.8	31.4	-1.2	0	-15.4	0	0.4	1	0	-0.6	0	0	0	16.6	0	0	-1.4	-1.4	0	0.4	0	-16.6	0	-5.8
3	ARI1995-11-26ATL	1995-11-26	7.6	8.6	42.4	0.62	-1	0	0.6	-19.6	0.8	-18.6	-0.2	6.8	7.6	42.4	-1	-1	-43.6	0	-0.2	0	0	-0.6	0	0	0	15.4	0	0	-0.8	-1	0.8	0.8	-0.2	-28.2	0	-2.8
-4	ARI1995-11-30NYG	1995-11-30	5.2	6.2	18.4	4.14	-0.8	0.4	-0.8	-20.6	4	19.6	0	4	5.2	18.4	-0.8	-1.6	-58	0	-0.2	-4.6	0	0.8	0	0	-0.4	16.8	0	0	-0.4	-0.6	0.6	1	-0.8	-34	0	0.6
-24	ARI1995-12-25DAL	1995-12-25	3	5.8	-5.2	11.52	-1	0.6	-0.6	-17.4	-1.2	-2.2	-0.4	3	3	-5.2	-1	-0.4	-26.4	0	-0.6	-6.8	0	0.6	0	0	-0.6	10.8	0	0	-1.2	-1.4	0.6	1	-0.2	-4.6	0	-5
-28	ARI1996-09-08MIA	1996-09-08	2.4	5.6	-10.6	-11.56	-1	1.6	-0.6	-19.8	-3	0.6	-1	1.6	2.4	-10.6	-1	-0.2	-18.2	0	-0.8	-12.2	0	0.6	0	0	-1.6	-24.4	0	0	-2	-2.2	0.2	1	-0.6	-19.8	0.2	-11.8
3	ARI1996-09-29STL	1996-09-29	8.8	14.8	47.6	-14.34	-0.4	1.2	0	-16.6	-0.8	12.8	-1	11.8	8.8	47.6	-0.4	0.4	4.6	0	-0.6	-23.2	-0.2	0	0	0	-1.2	-23.2	0	0	-1.6	-1.8	0.4	0.8	-0.2	-15.2	0.2	-10
4	ARI1996-10-20TAM	1996-10-20	5.4	11.2	4.4	-15.28	-0.4	1	0.4	-14.8	-3.6	-2.8	-1	8.4	5.4	4.4	-0.4	0.8	7	0	0.2	-21.6	-0.2	-0.4	0	0	-1	-17.4	0	0	-1.4	-1.6	-0.6	0.4	0.4	7.6	0.2	-9.8
-10	ARI1996-10-27NYJ	1996-10-27	3.2	9	-17.4	-15.84	0.2	0.4	0.6	-14.2	-6.8	-28.2	-1.6	7	3.2	-17.4	0.2	0.8	25.6	0	0.2	-20.2	-0.2	-0.6	0	0	-0.4	-9.2	0	0	-1.4	-1.6	-0.2	0	1.4	50.8	0.2	-11
8	ARI1996-11-17NYG	1996-11-17	3.2	5.8	12.8	-14.22	0.6	0	0	-16.8	-2.6	-19.4	-1	5.6	3.2	12.8	0.6	-0.4	9.6	0	0.4	-15.4	-0.2	0	0	0	0	-8.6	0	0	-0.4	-0.6	-0.4	-0.2	1	31.6	0.2	-4.6
6	ARI1996-11-24PHI	1996-11-24	3.2	4.8	28.2	18.98	1.4	-0.8	0	-19	0.6	8.8	-0.6	5.6	3.2	28.2	1.4	-1.2	-13.8	-0.2	0.4	-13.4	-0.2	0	0	0	0.8	5.4	0	0	0.4	0.4	0.2	-0.2	0.6	20	0	2.2
-4	ARI1996-12-08DAL	1996-12-08	-1.6	-1	-14	7.27999999999999	1	-0.2	0	-14.4	-2.2	1.6	-0.6	0	-1.6	-14	1	-1.2	-13.8	-0.2	0.8	8.4	0	0	0	0	0.2	3.2	0	0	0.2	0.2	0	-0.2	0.2	17.6	0	0.8
1	ARI1996-12-15WAS	1996-12-15	-1	2	-2.6	3.06	1.2	0	-0.6	-14	-2.8	-0.6	-0.6	2.2	-1	-2.6	1.2	-0.4	5.8	-0.2	0.8	4.6	0	0.6	0	0	0	-1.6	0	0	0.2	0.4	-0.2	-0.8	0.2	13.2	0	0.2
3	ARI1997-09-07DAL	1997-09-07	1	3.2	12.8	3.5	1.2	0.2	-0.6	-17.2	-0.2	-3.2	0.2	3.2	1	12.8	1.2	-0.4	-18.2	-0.2	1.4	8	0	0.6	0	0	-0.2	-6.2	0	0	0.6	0.8	-1.4	-1.4	-0.2	-7	0	2.8
-1	ARI1997-10-05MIN	1997-10-05	1.2	5.8	13.4	-2.26	1	0	0	-16.8	-0.8	1	-0.2	5.2	1.2	13.4	1	0	-10.4	-0.2	1.4	6.4	0	0	0	0	0	0.4	0	0	0	0.2	-0.4	-0.6	-0.2	-16.8	0	1
-14	ARI1997-10-12NYG	1997-10-12	2.4	8.6	17.2	-12.64	0.2	0.8	1	-13	-7.8	-49.4	-0.2	7.4	2.4	17.2	0.2	1	19	0	1.2	7	0	-1	0	0	-0.8	-1.6	0	0	-0.4	-0.2	-1	-1	0.2	0.8	-0.2	-3
